Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007872NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007873NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007874NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007876NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007883NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007884NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","-1 000.00","- 800.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","-1 000.00","- 800.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007885NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"14 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"14 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007886NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007892NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007898NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007899NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007900NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"14 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"14 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007901NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,"500 000.00","500 000.00","400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,"500 000.00","500 000.00","400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007902NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,"500 000.00","500 000.00","400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,"500 000.00","500 000.00","400 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007938NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007940NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007941NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007942NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007943NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","3 000.00","2 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","3 000.00","2 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007944NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007945NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007946NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007947NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","3 000.00","2 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","3 000.00","2 400.00","5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007951NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007953NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007954NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007958NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007959NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007962NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007963NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007966NM,C007966AGE,USD,"111 111 111.00",,,,,,,,,,
,,,,,C007966NM,Active,1,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,1,"5 000.00","5 000.00",0.00,"4 000.00","4 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007977NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007982NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007988NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007992NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007995NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C007998NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008000NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008001NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 000.00","5 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008002NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008003NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"8 000.00",0.00,0.00,"5 200.00","3 200.00",
,,,,,,,,,,,,,
,,,,,,,5,"8 000.00",0.00,0.00,"5 200.00","3 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008006NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008007NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008008NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008031NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008032NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008034NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008035NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008092NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008097NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008098NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008099NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008100NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008102NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008107NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008108NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008109NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008114NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008115NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008116NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008117NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008118NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008119NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008120NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008122NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008123NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008124NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008125NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008126NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008127NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008131NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008132NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008138NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008149NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008151NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008153NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008154NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008174NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008175NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,5,"14 000.00","8 000.00","6 400.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008176NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008178NM,232727,USD,"8 000 000.00",POOL,,,,,,,,,
,,,,,Counter Name OP06,Active,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,5,"11 000.00","2 500.00","2 000.00","5 000.00","3 000.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008185NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008189NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008190NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008191NM,232727,USD,"5 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008192NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008193NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008202NAME,C008202AGE,USD,"999 999 999.00",,,,,,,,,,
,,,,,C008202NAME,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008203NAME,C008203AGE,USD,"999 999 999.00",,,,,,,,,,
,,,,,C008203NAME,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008206NAME,C008206AGE,USD,"999 999 999.00",,,,,,,,,,
,,,,,C008206NAME,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008221NM,232727,USD,"1 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,14,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
