Business Summary Report,
,,,
,
,
,Agreement Document No,Currency,Amount,Pool Mode?,,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance,
C008135NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008137NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008140NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"329 900.00","79 900.00","62 322.00","195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,9,"329 900.00","79 900.00","62 322.00","195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008142NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008188NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008195NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008198NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008215NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008218NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008225NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008228NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008229NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008243NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008244NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008246NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008260NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008272NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008276NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,1,"2 999 540.00",0.00,0.00,"2 339 641.20",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008284NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008285NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008287NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008288NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00",0.00,0.00,"195 000.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008291NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008293NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008294NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","60 000.00","46 800.00","148 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008322NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,21,"750 000.00",0.00,0.00,"499 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,21,"750 000.00",0.00,0.00,"499 200.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008326NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008380nm,C008380doc,USD,"1 000 000.00",,,,,,,,,,
,,,,,C008380001nm,Active,3,"6 000.00",0.00,0.00,"4 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,3,"6 000.00",0.00,0.00,"4 800.00",0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008401NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,PO_Counter1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,PO_Counter2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008402NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,PO_Counter1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008405NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,PO_Counter1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,PO_Counter2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008406NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,PO_Counter1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,PO_Counter2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008409NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008410NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008413NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008415NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008416NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"329 900.00","329 900.00","263 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"329 900.00","329 900.00","263 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008418NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008419NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008420NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008421NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,11,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,11,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008422NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008424NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,8,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,8,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008425NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,8,"750 000.00","750 000.00","600 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,8,"750 000.00","750 000.00","600 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008426NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008427NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008428NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008429NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008430NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 050 000.00","1 050 000.00","840 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 050 000.00","1 050 000.00","840 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008432NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008433NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008437NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008438NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008439NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008440NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008441NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008445NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008446NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008448NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008449NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008454NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008455NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","200 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008459NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008460NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008461NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","839 920.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008462NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008463NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008465NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008466NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008467NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,7,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008468NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008469NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008470NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008471NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008472NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008474NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008475NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008476NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008477NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","429 000.00","389 922.00","389 922.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008484NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008485NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,9,"250 000.00","250 000.00","46 800.00","148 200.00","148 200.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008499NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008502NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"250 000.00","250 000.00","195 000.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008503NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008504NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008505NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008506NM,131640,USD,"50 000 000.00",,,,,,,,,,
,,,,,Counter Name OP06,Active,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,9,"1 049 900.00","1 049 900.00","818 922.00",0.00,0.00,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C008507NM,131640,USD,"50 000 000.00",,,,,,,,,,
